Data in US Dollars;;;;;
;2022;Q1 2022;Q2 2022;Q3 2022;Q4 2022
Personal transfers;;;;;
Other current transfers;141.518,00;34.801,00;34.872,00;35.694,00;36.151,00
Debit;371.990,00;82.363,00;88.915,00;101.230,00;99.482,00
General government;90.400,00;16.319,00;19.685,00;28.889,00;25.507,00
Financial corporations, nonfinancial corporations, households, and NPISHs;281.590,00;66.044,00;69.230,00;72.341,00;73.975,00
Personal transfers;62.239,00;14.984,00;15.443,00;15.790,00;16.022,00
Other current transfers;219.351,00;51.060,00;53.787,00;56.551,00;57.953,00
Capital account;-181,00;-1.367,00;-2.462,00;6.272,00;-2.624,00
Gross disposals of nonproduced, nonfinancial assets, credit;;;;;
Gross acquisitions of nonproduced, nonfinancial assets, debit;;;;;
Capital transfers, credit;;;;;
General government;;;;;
Debt forgiveness;;;;;
Other capital transfers;;;;;
Financial corporations, nonfinancial corporations, households, and NPISHs;;;;;
Capital transfers, debit;;;;;
General government;;;;;
Debt forgiveness;;;;;
Other capital transfers;;;;;
Financial corporations, nonfinancial corporations, households, and NPISHs;;;;;
Financial account;-869.104,95;-265.459,17;-130.709,68;-244.016,39;-228.919,72
Direct investment;-20.472,00;22.404,00;26.983,00;-72.197,00;2.338,00
Net acquisition of financial assets;388.510,00;158.822,00;102.718,00;55.681,00;71.289,00
Equity and investment fund shares;378.953,00;150.899,00;87.354,00;92.770,00;47.930,00
Equity other than reinvestment of earnings;133.166,00;74.189,00;20.243,00;11.150,00;27.584,00
Direct investor in direct investment enterprises;;;;;
Direct investment enterprises in direct investor (reverse investment);;;;;
Between fellow enterprises;;;;;
Reinvestment of earnings (direct investor in direct investment enterprises);245.787,00;76.710,00;67.111,00;81.620,00;20.346,00
Debt instruments;9.557,00;7.923,00;15.364,00;-37.089,00;23.359,00
Direct investor in direct investment enterprises;1.863,00;5.055,00;16.361,00;-32.977,00;13.424,00
Direct investment enterprises in direct investor (reverse investment);7.694,00;2.868,00;-997,00;-4.112,00;9.935,00
Between fellow enterprises;;;;;
Net incurrence of liabilities;408.982,00;136.418,00;75.735,00;127.878,00;68.951,00
Equity and investment fund shares;333.473,00;84.584,00;91.455,00;96.059,00;61.375,00
Equity other than reinvestment of earnings;118.206,00;26.053,00;28.520,00;41.423,00;22.210,00
Direct investor in direct investment enterprises;;;;;
Direct investment enterprises in direct investor (reverse investment);;;;;
Between fellow enterprises;;;;;
Reinvestment of earnings (direct investor in direct investment enterprises);215.267,00;58.531,00;62.935,00;54.636,00;39.165,00
Debt instruments;75.509,00;51.834,00;-15.720,00;31.819,00;7.576,00
Direct investor in direct investment enterprises;27.081,00;4.554,00;903,00;24.052,00;-2.428,00
Direct investment enterprises in direct investor (reverse investment);48.428,00;47.280,00;-16.623,00;7.767,00;10.004,00
Between fellow enterprises;;;;;
Portfolio investment;-437.666,00;-72.386,00;-147.474,00;8.786,00;-226.592,00
Net acquisition of financial assets;322.717,00;191.982,00;236.903,00;270.789,00;-376.957,00
Equity and investment fund shares;159.463,00;88.902,00;197.228,00;163.858,00;-290.525,00
Central bank;0,00;0,00;0,00;0,00;0,00
Deposit-taking corporations, except the central bank;3.219,00;1.549,00;3.312,00;2.737,00;-4.379,00
General government;0,00;0,00;0,00;0,00;0,00
Other sectors;156.244,00;87.353,00;193.916,00;161.121,00;-286.146,00
of which: other financial corporations;135.441,00;75.354,00;166.978,00;138.176,00;-245.067,00
Debt securities;163.254,00;103.080,00;39.675,00;106.931,00;-86.432,00
Central bank;0,00;0,00;0,00;0,00;0,00
Deposit-taking corporations, except the central bank;21.879,00;10.812,00;9.306,00;11.123,00;-9.362,00
General government;0,00;0,00;0,00;0,00;0,00
Other sectors;141.375,00;92.268,00;30.369,00;95.808,00;-77.070,00
of which: other financial corporations;110.969,00;70.731,00;21.766,00;85.962,00;-67.490,00
Net incurrence of liabilities;760.383,00;264.368,00;384.377,00;262.003,00;-150.365,00
Equity and investment fund shares;2.585,00;-116.586,00;298.519,00;-5.636,00;-173.712,00
Central bank;0,00;0,00;0,00;0,00;0,00
Deposit-taking corporations, except the central bank;-1.302,00;-2.132,00;4.256,00;-94,00;-3.332,00
General government;0,00;0,00;0,00;0,00;0,00
Other sectors;3.887,00;-114.454,00;294.263,00;-5.542,00;-170.380,00
of which: other financial corporations;2.975,00;-34.798,00;96.670,00;-1.807,00;-57.090,00
Debt securities;757.798,00;380.954,00;85.858,00;267.639,00;23.347,00
Central bank;0,00;0,00;0,00;0,00;0,00
Deposit-taking corporations, except the central bank;76.097,00;58.489,00;-9.218,00;28.569,00;-1.743,00
General government;395.554,00;215.119,00;28.170,00;131.003,00;21.262,00
Other sectors;286.147,00;107.346,00;66.906,00;108.067,00;3.828,00
of which: other financial corporations;199.826,00;22.794,00;79.670,00;68.393,00;28.969,00
Financial derivatives (other than reserves) and employee stock options;-80.698,00;6.102,00;-45.911,00;-33.940,00;-6.949,00
Net acquisition of financial assets;;;;;
Net incurrence of liabilities;;;;;
Other investment;-336.083,00;-222.517,00;34.499,00;-147.460,00;-605,00
Net acquisition of financial assets;30.065,00;58.790,00;29.903,00;-10.549,00;-48.079,00
Other equity;2.370,00;300,00;1.570,00;335,00;165,00
Debt instruments;27.695,00;58.490,00;28.333,00;-10.884,00;-48.244,00
Central bank;-2.928,00;-2.974,00;-19,00;-47,00;112,00
Deposit-taking corporations, except the central bank;103.809,00;22.784,00;38.601,00;-2.142,00;44.566,00
General government;1,00;-6,00;62,00;-363,00;308,00
Other sectors;-73.187,00;38.686,00;-10.311,00;-8.332,00;-93.230,00
of which: other financial corporations;;;;;
Net incurrence of liabilities;366.148,00;281.307,00;-4.596,00;136.911,00;-47.474,00
Other equity;;;;;
Special drawing rights (allocations);0,00;0,00;0,00;0,00;0,00
Other debt instruments;366.148,00;281.307,00;-4.596,00;136.911,00;-47.474,00
Central bank;92.010,00;-13.876,00;21.829,00;26.470,00;57.587,00
Deposit-taking corporations, except the central bank;161.842,00;155.181,00;3.858,00;38.246,00;-35.443,00
General Government;16.885,00;2.788,00;4.971,00;3.578,00;5.548,00
Other sectors;95.411,00;137.214,00;-35.254,00;68.617,00;-75.166,00
of which: other financial corporations;;;;;
Reserve assets;5.814,05;937,83;1.193,32;794,61;2.888,28
Monetary gold;0,00;0,00;0,00;0,00;0,00
Special drawing rights;4.978,87;1.521,54;1.529,95;702,81;1.224,57
Reserve position in the IMF;807,19;-594,71;-362,63;129,81;1.634,72
Other reserve assets;28,00;11,00;26,00;-38,00;29,00
Net errors and omissions;143.179,05;-863,17;143.261,32;9.884,61;-9.103,72
International Investment Positions;;;;;
Assets;31.440.286,89;33.937.623,29;30.899.865,79;29.590.096,46;31.440.286,89
Direct investment;9.150.284,00;10.298.096,00;8.884.283,00;8.193.321,00;9.150.284,00
Equity and investment fund shares;7.942.730,00;9.095.096,00;7.663.549,00;7.014.789,00;7.942.730,00
Direct investor in direct investment enterprises;;;;;
Direct investment enterprises in direct investor (reverse investment);;;;;
Between fellow enterprises;;;;;
Debt instruments;1.207.554,00;1.203.000,00;1.220.734,00;1.178.533,00;1.207.554,00
Direct investor in direct investment enterprises;726.421,00;718.154,00;734.516,00;709.167,00;726.421,00
Direct investment enterprises in direct investor (reverse investment);481.132,00;484.846,00;486.218,00;469.366,00;481.132,00
Between fellow enterprises;;;;;
Portfolio investment;14.024.125,00;15.513.944,00;13.821.086,00;12.901.498,00;14.024.125,00
Equity and investment fund shares;10.279.726,00;11.465.265,00;9.997.741,00;9.192.407,00;10.279.726,00
Central bank;0,00;0,00;0,00;0,00;0,00
Deposit-taking corporations, except the central bank;154.935,00;199.813,00;167.869,00;153.531,00;154.935,00
General government;0,00;0,00;0,00;0,00;0,00
Other sectors;10.124.791,00;11.265.452,00;9.829.872,00;9.038.876,00;10.124.791,00
of which: other financial corporations;8.671.283,00;9.717.970,00;8.464.372,00;7.751.670,00;8.671.283,00
Debt securities;3.744.399,00;4.048.679,00;3.823.345,00;3.709.091,00;3.744.399,00
Central bank;0,00;0,00;0,00;0,00;0,00
Deposit-taking corporations, except the central bank;318.923,00;332.632,00;346.141,00;342.864,00;318.923,00
General government;0,00;0,00;0,00;0,00;0,00
Other sectors;3.425.476,00;3.716.047,00;3.477.204,00;3.366.227,00;3.425.476,00
of which: other financial corporations;;;;;
Financial derivatives (other than reserves) and employee stock options;2.543.343,00;2.254.847,00;2.405.663,00;2.826.939,00;2.543.343,00
Other investment;5.015.621,00;5.125.747,00;5.086.209,00;5.012.135,00;5.015.621,00
Other equity;73.112,00;71.234,00;72.561,00;72.656,00;73.112,00
Debt instruments;4.942.509,00;5.054.513,00;5.013.648,00;4.939.479,00;4.942.509,00
Central bank;412,00;366,00;347,00;300,00;412,00
Deposit-taking corporations, except the central bank;2.236.100,00;2.173.147,00;2.188.451,00;2.166.973,00;2.236.100,00
General government;30.931,00;30.925,00;30.987,00;30.623,00;30.931,00
Other sectors;2.675.065,00;2.850.076,00;2.793.864,00;2.741.582,00;2.675.065,00
of which: other financial corporations;;;;;
Reserve assets;706.914,89;744.988,29;702.624,79;656.202,46;706.914,89
Monetary gold;474.294,00;507.871,00;475.144,00;437.161,00;474.294,00
Special drawing rights;160.537,43;163.131,13;158.195,49;153.175,21;160.537,43
Reserve position in the fund;34.970,46;34.799,16;33.065,30;32.001,25;34.970,46
Other reserve assets;37.112,00;39.187,00;36.219,00;33.865,00;37.112,00
Liabilities;47.704.194,23;52.278.122,99;47.540.616,48;46.449.421,48;47.704.194,23
Direct investment;12.235.184,00;14.188.536,00;12.073.127,00;11.534.369,00;12.235.184,00
Equity and investment fund shares;10.466.919,00;12.457.231,00;10.363.441,00;9.778.479,00;10.466.919,00
Direct investor in direct investment enterprises;;;;;
Direct investment enterprises in direct investor (reverse investment);;;;;
Between fellow enterprises;;;;;
Debt instruments;1.768.264,00;1.731.305,00;1.709.686,00;1.755.890,00;1.768.264,00
Direct investor in direct investment enterprises;952.458,00;932.855,00;927.859,00;951.343,00;952.458,00
Direct investment enterprises in direct investor (reverse investment);815.806,00;798.451,00;781.827,00;804.547,00;815.806,00
Between fellow enterprises;;;;;
Portfolio investment;24.715.235,00;27.671.650,00;24.958.375,00;23.938.597,00;24.715.235,00
Equity and investment fund shares;12.126.970,00;14.347.331,00;12.185.954,00;11.532.884,00;12.126.970,00
Central bank;0,00;0,00;0,00;0,00;0,00
Deposit-taking corporations, except the central bank;232.578,00;262.359,00;173.716,00;192.381,00;232.578,00
General government;0,00;0,00;0,00;0,00;0,00
Other sectors;11.894.393,00;14.084.972,00;12.012.238,00;11.340.503,00;11.894.393,00
of which: other financial corporations;3.985.481,00;4.282.290,00;3.946.207,00;3.697.925,00;3.985.481,00
Debt securities;12.588.264,00;13.324.318,00;12.772.420,00;12.405.712,00;12.588.264,00
Central bank;0,00;0,00;0,00;0,00;0,00
Deposit-taking corporations, except the central bank;395.261,00;436.318,00;390.757,00;419.673,00;395.261,00
General government;7.374.365,00;7.706.718,00;7.509.331,00;7.337.838,00;7.374.365,00
Other sectors;4.818.637,00;5.181.282,00;4.872.332,00;4.648.201,00;4.818.637,00
of which: other financial corporations;;;;;
Financial derivatives (other than reserves) and employee stock options;2.473.846,00;2.189.923,00;2.334.242,00;2.708.540,00;2.473.846,00
Other investment;8.279.930,23;8.228.014,99;8.174.873,48;8.267.915,48;8.279.930,23
Other equity;;;;;
Special drawing rights;152.863,23;158.784,99;152.511,48;147.009,48;152.863,23
Other debt instruments;8.127.067,00;8.069.230,00;8.022.362,00;8.120.906,00;8.127.067,00
Central bank;1.374.994,00;1.269.107,00;1.290.937,00;1.317.406,00;1.374.994,00
Deposit-taking corporations, except the central bank;2.924.327,00;2.918.372,00;2.911.420,00;2.942.703,00;2.924.327,00
General government;166.988,00;152.891,00;157.862,00;161.440,00;166.988,00
Other sectors;3.660.757,00;3.728.859,00;3.662.143,00;3.699.356,00;3.660.757,00
of which: other financial corporations;;;;;
Net international investment position;-16.263.907,34;-18.340.499,70;-16.640.750,70;-16.859.325,02;-16.263.907,34
Special Purpose Entities;;;;;
Balance of Payments;;;;;
Current Account;-15.947,00;;;;
Credit;505,00;;;;
Debit;16.452,00;;;;
Goods;;;;;
Credit;;;;;
Of which: Net exports of goods under merchanting by resident SPEs;;;;;
Debit;;;;;
Services;;;;;
Credit;;;;;
Debit;;;;;
Of which: Transport;;;;;
Credit;;;;;
Debit;;;;;
Of which: Financial services;;;;;
Credit;;;;;
Debit;;;;;
Of which: Charges for the use of intellectual property n.i.e.;;;;;
Credit;;;;;
Debit;;;;;
Of which: Other business services;;;;;
Credit;;;;;
Debit;;;;;
Primary Income;-15.947,00;;;;
Credit;505,00;;;;
Debit;16.452,00;;;;
Investment income;-15.947,00;;;;
Credit;505,00;;;;
Debit;16.452,00;;;;
Direct investment;-15.947,00;;;;
Credit;505,00;;;;
Debit;16.452,00;;;;
Dividends and withdrawals from income of quasi-corporations;-1.514,00;;;;
Credit;;;;;
Debit;1.514,00;;;;
Direct investor in direct investment enterprises;-1.514,00;;;;
Credit;;;;;
Debit;1.514,00;;;;
Direct investment enterprises in direct investor (reverse investment);;;;;
Credit;;;;;
Debit;;;;;
Between fellow enterprises;;;;;
Credit;;;;;
Debit;;;;;
Reinvested earnings;-13.384,00;;;;
Credit;;;;;
Debit;13.384,00;;;;
Interest;-1.049,00;;;;
Credit;505,00;;;;
Debit;1.554,00;;;;
Direct investor in direct investment enterprises;-1.554,00;;;;
Credit;;;;;
Debit;1.554,00;;;;
Direct investment enterprises in direct investor (reverse investment);505,00;;;;
Credit;505,00;;;;
Debit;;;;;
Between fellow enterprises;;;;;
Credit;;;;;
Debit;;;;;
Portfolio investment;;;;;
Credit;;;;;
Debit;;;;;
Dividends on equity excluding investment fund shares;;;;;
Credit;;;;;
Debit;;;;;
Reinvested earnings;;;;;
Credit;;;;;
Debit;;;;;
Interest;;;;;
Credit;;;;;
Debit;;;;;
Other investment;;;;;
Credit;;;;;
Debit;;;;;
Interest;;;;;
Credit;;;;;
Debit;;;;;
Secondary Income;;;;;
Credit;;;;;
Debit;;;;;
Capital Account;;;;;
Credit;;;;;
Debit;;;;;
Gross acquisitions (DR.) / disposals (CR.) of nonproduced nonfinancial assets;;;;;
Credit;;;;;
Debit;;;;;
Financial Account;-18.890,00;;;;
Direct Investment;-18.890,00;;;;
Net Acquisition of Financial Assets;-814,00;;;;
Net Incurrence of Liabilities;18.076,00;;;;
Equity and investment fund Shares;-19.281,00;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;19.281,00;;;;
Equity other than reinvestment of earnings;-5.897,00;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;5.897,00;;;;
Direct investor in direct investment enterprises;-5.897,00;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;5.897,00;;;;
Direct investment enterprises in direct investor (reverse investment);;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Between fellow enterprises;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
If ultimate controlling parent is resident;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
If ultimate controlling parent is nonresident;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
If ultimate controlling parent is unknown;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Reinvestment of earnings;-13.384,00;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;13.384,00;;;;
Debt Instruments;391,00;;;;
Net Acquisition of Financial Assets;-814,00;;;;
Net Incurrence of Liabilities;-1.205,00;;;;
Direct investor in direct investment enterprises;1.205,00;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;-1.205,00;;;;
Direct investment enterprises in direct investor (reverse investment);-814,00;;;;
Net Acquisition of Financial Assets;-814,00;;;;
Net Incurrence of Liabilities;;;;;
Between fellow enterprises;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
If ultimate controlling parent is resident;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
If ultimate controlling parent is nonresident;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
If ultimate controlling parent is unknown;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Portfolio investment;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Equity and investment fund shares;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Debt securities;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Short-term;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Long-term;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Other investment;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Short-term;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Long-term;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
Financial derivatives (other than reserves) and employee stock options;;;;;
Net Acquisition of Financial Assets;;;;;
Net Incurrence of Liabilities;;;;;
International Investment Position;;;;;
International Investment Position (Net);-477.047,00;;;;
Assets;25.020,00;;;;
Liabilities;502.067,00;;;;
Direct Investment;-477.047,00;;;;
Assets;25.020,00;;;;
Liabilities;502.067,00;;;;
Equity and investment fund Shares;-466.421,00;;;;
Assets;;;;;
Liabilities;466.421,00;;;;
Direct investor in direct investment enterprises;-466.421,00;;;;
Assets;;;;;
Liabilities;466.421,00;;;;
Direct investment enterprises in direct investor (reverse investment);;;;;
Assets;;;;;
Liabilities;;;;;
Between fellow enterprises;;;;;
Assets;;;;;
Liabilities;;;;;
If ultimate controlling parent is resident;;;;;
Assets;;;;;
Liabilities;;;;;
If ultimate controlling parent is nonresident;;;;;
Assets;;;;;
Liabilities;;;;;
If ultimate controlling parent is unknown;;;;;
Assets;;;;;
Liabilities;;;;;
Debt Instruments;-10.626,00;;;;
Assets;25.020,00;;;;
Liabilities;35.646,00;;;;
Direct investor in direct investment enterprises;-35.646,00;;;;
Assets;;;;;
Liabilities;35.646,00;;;;
Direct investment enterprises in direct investor (reverse investment);25.020,00;;;;
Assets;25.020,00;;;;
Liabilities;;;;;
Between fellow enterprises;;;;;
Assets;;;;;
Liabilities;;;;;
If ultimate controlling parent is resident;;;;;
Assets;;;;;
Liabilities;;;;;
If ultimate controlling parent is nonresident;;;;;
Assets;;;;;
Liabilities;;;;;
If ultimate controlling parent is unknown;;;;;
Assets;;;;;
Liabilities;;;;;
Portfolio investment;;;;;
Assets;;;;;
Liabilities;;;;;
Equity and investment fund shares;;;;;
Assets;;;;;
Liabilities;;;;;
Debt securities;;;;;
Assets;;;;;
Liabilities;;;;;
Short-term;;;;;
Assets;;;;;
Liabilities;;;;;
Long-term;;;;;
Assets;;;;;
Liabilities;;;;;
Other investment;;;;;
Assets;;;;;
Liabilities;;;;;
Short-term;;;;;
Assets;;;;;
Liabilities;;;;;
Long-term;;;;;
Assets;;;;;
Liabilities;;;;;
Financial derivatives (other than reserves) and employee stock options;;;;;
Assets;;;;;
Liabilities;;;;;
International Investment Positions, Additional Analytical Position Data;;;;;
Currency Composition of Debt Claims on Nonresidents by sector;;;;;
Memorandum Items;;;;;
Table A9-I.1a;;;;;
Central bank;;;;;
Total;412,00;366,00;347,00;300,00;412,00
Domestic currency;0,00;0,00;0,00;0,00;0,00
Foreign currency;412,00;366,00;347,00;300,00;412,00
U.S. dollar;;;;;
Euro;412,00;366,00;347,00;275,00;412,00
Yen;0,00;0,00;0,00;0,00;0,00
Other currencies;0,00;0,00;0,00;25,00;0,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Of which one year or less;412,00;366,00;347,00;300,00;412,00
Domestic currency;0,00;0,00;0,00;0,00;0,00
Foreign currency;412,00;366,00;347,00;300,00;412,00
U.S. dollar;;;;;
Euro;412,00;366,00;347,00;275,00;412,00
Yen;0,00;0,00;0,00;0,00;0,00
Other currencies;0,00;0,00;0,00;25,00;0,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Deposit-taking corporations, except the central bank;;;;;
Total;2.555.023,00;2.505.779,00;2.534.592,00;2.509.837,00;2.555.023,00
Domestic currency;2.084.665,00;2.042.869,00;2.089.241,00;2.091.653,00;2.084.665,00
